Song-Name,Artists,Genre,Album,Language,Mood,tags
Bom Diggy Diggy,JasminWalia ZackKnight,BollywoodDance,SonuKeTituKiSweety,Hindi,Energetic,JasminWalia ZackKnight BollywoodDance SonuKeTituKiSweety EnergeticHindi
Issaqbaazi,DivyaKumar SukhwinderSingh,BollywoodDance,Zero,Hindi,Energetic,DivyaKumar SukhwinderSingh BollywoodDance Zero EnergeticHindi
Mere Naam Tu,AbhayJodhpurkar,BollywoodRomantic,Zero,Hindi,romantic,AbhayJodhpurkar BollywoodRomantic Zero romanticHindi
Nazam Nazam,Arko AyushmanKhurana,BollywoodRomance,BareillyKiBarfi,Hindi,romantic,Arko AyushmanKhurana BollywoodRomance BareillyKiBarfi romanticHindi
Good Morning,ShannonDonald VishalDadlani,Bollywood,EkLadkiKoDekhaTohAisaLaga,Hindi,Energetic,ShannonDonald VishalDadlani Bollywood EkLadkiKoDekhaTohAisaLaga EnergeticHindi
O Saathi,AtifAslam PayalDev,BollywoodRomantic,Baaghi2,Hindi,romantic,AtifAslam PayalDev BollywoodRomantic Baaghi2 romanticHindi
Tere Jaisa,Arko TulsiKumar,BollywoodRomantic,SatyamevaJayate,Hindi,romantic,Arko TulsiKumar BollywoodRomantic SatyamevaJayate romanticHindi
Mera Intkam Dekhegi,KrishnaBeuraa,BollywoodSad,ShaadiMeinZaroorAana,Hindi,sad,KrishnaBeuraa BollywoodSad ShaadiMeinZaroorAana sadHindi
Gerua,AntaraMitra ArijitSingh,BollywoodRomantic,Dilwale,Hindi,romantic,AntaraMitra ArijitSingh BollywoodRomantic Dilwale romanticHindi
Suraiyya,ShreyaGhoshal VishalDadlani,BollywoodDance,ThugsofHindostan,Hindi,Energetic,ShreyaGhoshal VishalDadlani BollywoodDance ThugsofHindostan EnergeticHindi
Gold Tamba,NakashAziz,BollywoodDance,BattiGulMeterChalu,Hindi,Energetic,NakashAziz BollywoodDance BattiGulMeterChalu EnergeticHindi
Ae Dil Hai Mushkil,ArijitSingh,BollywoodSad,AeDilHaiMushkil,Hindi,sad,ArijitSingh BollywoodSad AeDilHaiMushkil sadHindi
Prem Ratan Dhan Payo,PalakMuchhal,BollywoodDanceRomantic,PremRatanDhanPayo,Hindi,romantic,PalakMuchhal BollywoodDanceRomantic PremRatanDhanPayo romanticHindi
Mohabbat,SunidhiChauhan,BollywoodDance,FanneyKhan,Hindi,Energetic,SunidhiChauhan BollywoodDance FanneyKhan EnergeticHindi
Nainowale Ne,NeetiMohan,BollywoodRomantic,Padmaavat,Hindi,romantic,NeetiMohan BollywoodRomantic Padmaavat romanticHindi
Mummy Kasam,GurinderSeagal PayalDev,BollywoodDance,Nawabzaade,Hindi,Energetic,GurinderSeagal PayalDev BollywoodDance Nawabzaade EnergeticHindi
Nasha,AmitGupta,BollywoodSensual,GamePaisaLadki,Hindi,Romantic,AmitGupta BollywoodSensual GamePaisaLadki RomanticHindi
Bulleya,AmitMishra ShilpaRao,BollywoodDanceSad,AeDilHaiMushkil,Hindi,sad,AmitMishra ShilpaRao BollywoodDanceSad AeDilHaiMushkil sadHindi
Kar Gayi Chull,Badshah Fazilpuria NehaKakkar SukritiKakar,BollywoodDance,Kapoor&Sons,Hindi,Energetic,Badshah Fazilpuria NehaKakkar SukritiKakar BollywoodDance Kapoor&Sons EnergeticHindi
Musafir,AtifAslam PalakMuchhal,BollywoodSad,SweetieeWedsNRI,Hindi,sad,AtifAslam PalakMuchhal BollywoodSad SweetieeWedsNRI sadHindi
Binte Dil,ArijitSingh,BollywoodDance,Padmaavat,Hindi,Energetic,ArijitSingh BollywoodDance Padmaavat EnergeticHindi
Halka Halka,DivyaKumar SunidhiChauhan,BollywoodRomantic,FanneyKhan,Hindi,romantic,DivyaKumar SunidhiChauhan BollywoodRomantic FanneyKhan romanticHindi
Humsafar,AkhilSachdeva MansheelGujral,BollywoodRomanticSad,BadrinathKiDulhania,Hindi,RomanticSad,AkhilSachdeva MansheelGujral BollywoodRomanticSad BadrinathKiDulhania RomanticSadHindi
Chad Gayi Hai,Jigar SachinSanghvi VishalDadlani,BollywoodDance,Gold,Hindi,Energetic,Jigar SachinSanghvi VishalDadlani BollywoodDance Gold EnergeticHindi
Tum Mere Ho,AmritaSingh JubinNautiyal,BollywoodSensual,HateStory4,Hindi,Romantic,AmritaSingh JubinNautiyal BollywoodSensual HateStory4 RomanticHindi
Bole Chudiyan,AlkaYagnik AmitKumar KavitaKrishnamurthy SonuNigam UditNarayan,BollywoodDanceRomantic,KabhiKhushiKabhieGham,Hindi,romantic,AlkaYagnik AmitKumar KavitaKrishnamurthy SonuNigam UditNarayan BollywoodDanceRomantic KabhiKhushiKabhieGham romanticHindi
Sawarne Lage,JubinNautiyal,BollywoodRomantic,Mitron,Hindi,romantic,JubinNautiyal BollywoodRomantic Mitron romanticHindi
Chalti Hai Kya 9 Se 12,DevNegi NehaKakkar,BollywoodDance,Judwaa2,Hindi,Energetic,DevNegi NehaKakkar BollywoodDance Judwaa2 EnergeticHindi
Selfish,AtifAslam IuliaVantur,BollywoodRomantic,Race3,Hindi,romantic,AtifAslam IuliaVantur BollywoodRomantic Race3 romanticHindi
Oonchi Hai Building,AnuMalik NehaKakkar,BollywoodDance,Judwaa2,Hindi,Energetic,AnuMalik NehaKakkar BollywoodDance Judwaa2 EnergeticHindi
Shikwa Nahin Kisi Se,KumarSanu,BollywoodSad,Naseeb,Hindi,sad,KumarSanu BollywoodSad Naseeb sadHindi
Sanam Re,ArijitSingh,BollywoodRomantic,SanamRe,Hindi,romantic,ArijitSingh BollywoodRomantic SanamRe romanticHindi
Dekha Hai Pehli Baar,AlkaYagnik S.P.Balasubrahmanyam,BollywoodDance,Saajan,Hindi,Energetic,AlkaYagnik S.P.Balasubrahmanyam BollywoodDance Saajan EnergeticHindi
Phir Bhi Tumko Chaahunga,ArijitSingh ShashaaTirupati,BollywoodSad,HalfGirlfriend,Hindi,sad,ArijitSingh ShashaaTirupati BollywoodSad HalfGirlfriend sadHindi
Suit Suit,Arjun GuruRandhawa,BollywoodDance,HindiMedium,Hindi,Energetic,Arjun GuruRandhawa BollywoodDance HindiMedium EnergeticHindi
Lakk Mera Hit,MannatNoor RochakKohli SukritiKakar,BollywoodDance,SonuKeTituKiSweety,Hindi,Energetic,MannatNoor RochakKohli SukritiKakar BollywoodDance SonuKeTituKiSweety EnergeticHindi
Sexy Baliye,MikaSingh,BollywoodDance,DilChahtaHai,Hindi,Energetic,MikaSingh BollywoodDance DilChahtaHai EnergeticHindi
Main Jahaan Rahoon,RahatFatehAliKhan,BollywoodSad,NamasteyLondon,Hindi,sad,RahatFatehAliKhan BollywoodSad NamasteyLondon sadHindi
Hasi Ban Gaye,ShreyaGhoshal,BollywoodRomantic,HamariAdhuriKahani,Hindi,romantic,ShreyaGhoshal BollywoodRomantic HamariAdhuriKahani romanticHindi
Nachde Ne Saare,HarshdeepKaur JasleenRoyal SiddharthMahadevan,BollywoodDance,BaarBaarDekho,Hindi,Energetic,HarshdeepKaur JasleenRoyal SiddharthMahadevan BollywoodDance BaarBaarDekho EnergeticHindi
Manma Emotion Jaage,AmitMishra AntaraMitra AnushkaManchanda,BollywoodDanceRomantic,Dilwale,Hindi,romantic,AmitMishra AntaraMitra AnushkaManchanda BollywoodDanceRomantic Dilwale romanticHindi
Happy Happy,AasthaGill Badshah,Bollywood,Blackmail,Hindi,Energetic,AasthaGill Badshah Bollywood Blackmail EnergeticHindi
Tujhko Na Dekhun,SunidhiChauhan UditNarayan,Bollywood,Jaanwar,Hindi,Energetic,SunidhiChauhan UditNarayan Bollywood Jaanwar EnergeticHindi
Theher Ja,ArmaanMalik,BollywoodRomantic,October,Hindi,romantic,ArmaanMalik BollywoodRomantic October romanticHindi
Boond Boond,JubinNautiyal NeetiMohan,BollywoodRomantic,HateStory4,Hindi,romantic,JubinNautiyal NeetiMohan BollywoodRomantic HateStory4 romanticHindi
Adhura Lafz,PratibhaSinghBaghel RahatFatehAliKhan,BollywoodRomantic,Baazaar,Hindi,romantic,PratibhaSinghBaghel RahatFatehAliKhan BollywoodRomantic Baazaar romanticHindi
Trippy Trippy,Badshah BennyDayal BrijeshShandilya NehaKakkar,BollywoodDance,Bhoomi,Hindi,Energetic,Badshah BennyDayal BrijeshShandilya NehaKakkar BollywoodDance Bhoomi EnergeticHindi
Tukur Tukur,ArijitSingh KanikaKapoor NakashAziz NehaKakkar SiddharthMahadevan,BollywoodDance,Dilwale,Hindi,Energetic,ArijitSingh KanikaKapoor NakashAziz NehaKakkar SiddharthMahadevan BollywoodDance Dilwale EnergeticHindi
